Date,Open,High,Low,Close,Volume
2026-06-19 00:00:00,119800.0,120150.0,119650.0,120000.0,1250.0
2026-06-19 01:00:00,120000.0,120200.0,119900.0,120100.0,1100.0
2026-06-19 02:00:00,120100.0,120350.0,120050.0,120300.0,980.0
2026-06-19 03:00:00,120300.0,120500.0,120200.0,120400.0,1050.0
2026-06-19 04:00:00,120400.0,120600.0,120300.0,120550.0,1150.0
2026-06-19 05:00:00,120550.0,120750.0,120500.0,120700.0,1020.0
2026-06-19 06:00:00,120700.0,120800.0,120600.0,120750.0,890.0
2026-06-19 07:00:00,120750.0,121000.0,120700.0,120950.0,1320.0
2026-06-19 08:00:00,120950.0,121200.0,120850.0,121100.0,1450.0
2026-06-19 09:00:00,121100.0,121400.0,121050.0,121350.0,1380.0
2026-06-19 10:00:00,121350.0,121500.0,121200.0,121300.0,1200.0
2026-06-19 11:00:00,121300.0,121450.0,121200.0,121400.0,1100.0
2026-06-19 12:00:00,121400.0,121550.0,121350.0,121500.0,1050.0
2026-06-19 13:00:00,121500.0,121700.0,121450.0,121650.0,1250.0
2026-06-19 14:00:00,121650.0,121800.0,121600.0,121750.0,1150.0
2026-06-19 15:00:00,121750.0,121900.0,121700.0,121850.0,1080.0
2026-06-19 16:00:00,121850.0,122000.0,121800.0,121950.0,950.0
2026-06-19 17:00:00,121950.0,122100.0,121850.0,122050.0,1020.0
2026-06-19 18:00:00,122050.0,122200.0,121950.0,122150.0,1150.0
2026-06-19 19:00:00,122150.0,122300.0,122100.0,122250.0,980.0
2026-06-19 20:00:00,122250.0,122400.0,122200.0,122350.0,1200.0
2026-06-19 21:00:00,122350.0,122500.0,122300.0,122400.0,1100.0
2026-06-19 22:00:00,122400.0,122550.0,122350.0,122500.0,1050.0
2026-06-19 23:00:00,122500.0,122700.0,122450.0,122600.0,1250.0
2026-06-20 00:00:00,122600.0,122800.0,122550.0,122750.0,1180.0
2026-06-20 01:00:00,122750.0,122950.0,122700.0,122900.0,1300.0
2026-06-20 02:00:00,122900.0,123050.0,122850.0,123000.0,1150.0
2026-06-20 03:00:00,123000.0,123150.0,122950.0,123100.0,1080.0
2026-06-20 04:00:00,123100.0,123250.0,123050.0,123200.0,1020.0
2026-06-20 05:00:00,123200.0,123350.0,123150.0,123300.0,980.0
2026-06-20 06:00:00,123300.0,123500.0,123250.0,123450.0,1350.0
2026-06-20 07:00:00,123450.0,123650.0,123400.0,123600.0,1450.0
2026-06-20 08:00:00,123600.0,123800.0,123550.0,123750.0,1200.0
2026-06-20 09:00:00,123750.0,124000.0,123700.0,123950.0,1500.0
2026-06-20 10:00:00,123950.0,124100.0,123850.0,124050.0,1100.0
2026-06-20 11:00:00,124050.0,124200.0,124000.0,124100.0,1050.0
2026-06-20 12:00:00,124100.0,124250.0,124050.0,124200.0,1000.0
2026-06-20 13:00:00,124200.0,124350.0,124150.0,124300.0,1150.0
2026-06-20 14:00:00,124300.0,124500.0,124250.0,124450.0,1250.0
2026-06-20 15:00:00,124450.0,124600.0,124400.0,124550.0,1100.0
2026-06-20 16:00:00,124550.0,124700.0,124500.0,124650.0,1180.0
2026-06-20 17:00:00,124650.0,124800.0,124600.0,124750.0,1020.0
2026-06-20 18:00:00,124750.0,124900.0,124700.0,124850.0,950.0
2026-06-20 19:00:00,124850.0,125000.0,124800.0,124950.0,1050.0
2026-06-20 20:00:00,124950.0,125100.0,124900.0,125050.0,1150.0
2026-06-20 21:00:00,125050.0,125200.0,125000.0,125150.0,1080.0
2026-06-20 22:00:00,125150.0,125300.0,125100.0,125250.0,1120.0
2026-06-20 23:00:00,125250.0,125400.0,125200.0,125350.0,1000.0
2026-06-21 00:00:00,125350.0,125500.0,125300.0,125450.0,980.0
2026-06-21 01:00:00,125450.0,125600.0,125400.0,125550.0,1050.0
2026-06-21 02:00:00,125550.0,125700.0,125500.0,125650.0,1150.0
2026-06-21 03:00:00,125650.0,125800.0,125600.0,125750.0,1100.0
2026-06-21 04:00:00,125750.0,125900.0,125700.0,125850.0,1080.0
2026-06-21 05:00:00,125850.0,126000.0,125800.0,125950.0,1020.0
2026-06-21 06:00:00,125950.0,126150.0,125900.0,126100.0,1250.0
2026-06-21 07:00:00,126100.0,126250.0,126050.0,126200.0,1300.0
2026-06-21 08:00:00,126200.0,126350.0,126150.0,126300.0,1200.0
2026-06-21 09:00:00,126300.0,126500.0,126250.0,126450.0,1400.0
2026-06-21 10:00:00,126450.0,126600.0,126400.0,126550.0,1150.0
2026-06-21 11:00:00,126550.0,126700.0,126500.0,126650.0,1050.0
2026-06-21 12:00:00,126650.0,126800.0,126600.0,126750.0,1080.0
2026-06-21 13:00:00,126750.0,126950.0,126700.0,126900.0,1250.0
2026-06-21 14:00:00,126900.0,127100.0,126850.0,127050.0,1180.0
2026-06-21 15:00:00,127050.0,127250.0,127000.0,127200.0,1300.0
2026-06-21 16:00:00,127200.0,127400.0,127150.0,127350.0,1100.0
2026-06-21 17:00:00,127350.0,127500.0,127300.0,127450.0,1050.0
2026-06-21 18:00:00,127450.0,127600.0,127400.0,127550.0,1020.0
2026-06-21 19:00:00,127550.0,127700.0,127500.0,127650.0,1000.0
2026-06-21 20:00:00,127650.0,127800.0,127600.0,127750.0,1150.0
2026-06-21 21:00:00,127750.0,127950.0,127700.0,127900.0,1350.0
2026-06-21 22:00:00,127900.0,128100.0,127850.0,128050.0,1200.0
2026-06-21 23:00:00,128050.0,128200.0,128000.0,128150.0,1080.0
2026-06-22 00:00:00,128150.0,128300.0,128100.0,128250.0,1050.0
2026-06-22 01:00:00,128250.0,128400.0,128200.0,128350.0,1100.0
2026-06-22 02:00:00,128350.0,128500.0,128300.0,128450.0,1150.0
2026-06-22 03:00:00,128450.0,128600.0,128400.0,128550.0,1080.0
2026-06-22 04:00:00,128550.0,128700.0,128500.0,128650.0,1020.0
2026-06-22 05:00:00,128650.0,128800.0,128600.0,128750.0,980.0
2026-06-22 06:00:00,128750.0,128950.0,128700.0,128900.0,1250.0
2026-06-22 07:00:00,128900.0,129100.0,128850.0,129050.0,1300.0
2026-06-22 08:00:00,129050.0,129200.0,129000.0,129150.0,1200.0
2026-06-22 09:00:00,129150.0,129300.0,129100.0,129250.0,1150.0
2026-06-22 10:00:00,129250.0,129400.0,129200.0,129350.0,1100.0
2026-06-22 11:00:00,129350.0,129500.0,129300.0,129450.0,1080.0
2026-06-22 12:00:00,129450.0,129600.0,129400.0,129550.0,1050.0
2026-06-22 13:00:00,129550.0,129750.0,129500.0,129700.0,1250.0
2026-06-22 14:00:00,129700.0,129850.0,129650.0,129800.0,1180.0
2026-06-22 15:00:00,129800.0,129950.0,129750.0,129900.0,1300.0
2026-06-22 16:00:00,129900.0,130050.0,129850.0,130000.0,1200.0
2026-06-22 17:00:00,130000.0,130200.0,129950.0,130150.0,1150.0
2026-06-22 18:00:00,130150.0,130300.0,130100.0,130250.0,1100.0
2026-06-22 19:00:00,130250.0,130400.0,130200.0,130350.0,1080.0
2026-06-22 20:00:00,130350.0,130500.0,130300.0,130450.0,1050.0
2026-06-22 21:00:00,130450.0,130600.0,130400.0,130550.0,1020.0
2026-06-22 22:00:00,130550.0,130700.0,130500.0,130650.0,1000.0
2026-06-22 23:00:00,130650.0,130800.0,130600.0,130750.0,1120.0
2026-06-23 00:00:00,130750.0,130900.0,130700.0,130850.0,1080.0
2026-06-23 01:00:00,130850.0,131000.0,130800.0,130950.0,1150.0
2026-06-23 02:00:00,130950.0,131100.0,130900.0,131050.0,1100.0
2026-06-23 03:00:00,131050.0,131200.0,131000.0,131150.0,1050.0
2026-06-23 04:00:00,131150.0,131300.0,131100.0,131250.0,1020.0
2026-06-23 05:00:00,131250.0,131450.0,131200.0,131400.0,1200.0
2026-06-23 06:00:00,131400.0,131600.0,131350.0,131550.0,1350.0
2026-06-23 07:00:00,131550.0,131700.0,131500.0,131650.0,1250.0
2026-06-23 08:00:00,131650.0,131850.0,131600.0,131800.0,1300.0
2026-06-23 09:00:00,131800.0,131950.0,131750.0,131900.0,1150.0
2026-06-23 10:00:00,131900.0,132100.0,131850.0,132050.0,1250.0
2026-06-23 11:00:00,132050.0,132200.0,132000.0,132150.0,1180.0
2026-06-23 12:00:00,132150.0,132300.0,132100.0,132250.0,1100.0
2026-06-23 13:00:00,132250.0,132400.0,132200.0,132350.0,1080.0
2026-06-23 14:00:00,132350.0,132550.0,132300.0,132500.0,1200.0
2026-06-23 15:00:00,132500.0,132650.0,132450.0,132600.0,1150.0
2026-06-23 16:00:00,132600.0,132750.0,132550.0,132700.0,1100.0
2026-06-23 17:00:00,132700.0,132850.0,132650.0,132800.0,1050.0
2026-06-23 18:00:00,132800.0,132950.0,132750.0,132900.0,1020.0
2026-06-23 19:00:00,132900.0,133050.0,132850.0,133000.0,1080.0
2026-06-23 20:00:00,133000.0,133150.0,132950.0,133100.0,1150.0
2026-06-23 21:00:00,133100.0,133250.0,133050.0,133200.0,1100.0
2026-06-23 22:00:00,133200.0,133350.0,133150.0,133300.0,1000.0
2026-06-23 23:00:00,133300.0,133450.0,133250.0,133400.0,1050.0
2026-06-24 00:00:00,133400.0,133600.0,133350.0,133550.0,1200.0
2026-06-24 01:00:00,133550.0,133750.0,133500.0,133700.0,1300.0
2026-06-24 02:00:00,133700.0,133850.0,133650.0,133800.0,1150.0
2026-06-24 03:00:00,133800.0,133950.0,133750.0,133900.0,1080.0
2026-06-24 04:00:00,133900.0,134050.0,133850.0,134000.0,1120.0
2026-06-24 05:00:00,134000.0,134200.0,133950.0,134150.0,1250.0
2026-06-24 06:00:00,134150.0,134300.0,134100.0,134250.0,1180.0
2026-06-24 07:00:00,134250.0,134400.0,134200.0,134350.0,1100.0
2026-06-24 08:00:00,134350.0,134500.0,134300.0,134450.0,1050.0
